법정동,미용,병원,약국,용품,위탁,견주수
창원 마산합포구 교방동,3,0,0,0,1,389
창원 마산합포구 구산면,0,0,0,1,0,151
창원 마산합포구 남성동,1,0,0,0,0,37
창원 마산합포구 동성동,0,0,0,1,0,29
창원 마산합포구 산호동,3,1,1,0,0,711
창원 마산합포구 상남동,2,3,0,0,1,231
창원 마산합포구 성호동,1,0,0,0,0,62
창원 마산합포구 신포동1가,0,1,0,0,0,130
창원 마산합포구 신포동2가,1,0,0,0,0,81
창원 마산합포구 오동동,4,0,1,0,0,239
창원 마산합포구 완월동,0,0,0,0,2,334
창원 마산합포구 우산동,0,0,1,0,0,65
창원 마산합포구 월남동5가,1,0,1,0,0,8
창원 마산합포구 월영동,1,1,0,0,0,1013
창원 마산합포구 자산동,1,0,0,0,1,445
창원 마산합포구 장군동4가,1,0,0,0,0,31
창원 마산합포구 장군동5가,0,0,1,0,0,16
창원 마산합포구 중성동,0,0,0,1,0,66
창원 마산합포구 중앙동2가,0,0,0,0,1,95
창원 마산합포구 중앙동3가,1,1,1,0,0,70
창원 마산합포구 진동면,2,1,0,0,0,555
창원 마산합포구 진북면,0,0,0,1,1,220
창원 마산합포구 진전면,1,0,0,0,0,248
창원 마산합포구 창포동2가,1,0,0,0,0,26
창원 마산합포구 해운동,4,3,0,0,1,361
창원 마산합포구 현동,4,0,2,0,0,267
창원 마산합포구 홍문동,2,0,0,0,0,19
창원 성산구 가음동,0,3,0,0,0,500
창원 성산구 남산동,1,0,0,0,0,158
창원 성산구 남양동,2,2,0,0,0,860
창원 성산구 대방동,1,1,1,0,0,864
창원 성산구 대원동,1,0,0,0,1,113
창원 성산구 반림동,0,2,1,0,1,786
창원 성산구 반지동,1,0,1,0,0,679
창원 성산구 사파동,1,1,1,0,1,944
창원 성산구 사파정동,1,0,0,0,0,19
창원 성산구 상남동,5,9,1,0,3,1540
창원 성산구 성주동,1,1,1,0,0,476
창원 성산구 신월동,3,0,0,0,1,194
창원 성산구 용호동,1,0,0,0,0,476
창원 성산구 중앙동,8,4,1,0,2,551
창원 의창구 대산면,2,1,0,1,0,390
창원 의창구 도계동,4,2,1,0,1,962
창원 의창구 동읍,2,0,0,1,0,922
창원 의창구 명서동,2,1,1,0,1,1180
창원 의창구 봉곡동,3,2,0,0,0,864
창원 의창구 북면,13,1,0,1,0,1439
창원 의창구 사림동,2,1,1,0,1,598
창원 의창구 서상동,6,0,0,1,0,312
창원 의창구 소답동,4,1,0,0,2,502
창원 의창구 중동,2,3,0,0,0,439
창원 의창구 팔용동,1,3,0,0,2,928
창원 진해구 경화동,1,0,0,0,0,936
창원 진해구 남문동,3,0,0,0,0,382
창원 진해구 남양동,1,0,0,0,0,78
창원 진해구 대흥동,1,0,0,0,0,12
창원 진해구 덕산동,2,1,0,0,0,68
창원 진해구 명동,0,0,0,0,1,25
창원 진해구 석동,2,3,0,0,0,860
창원 진해구 성내동,1,0,0,0,0,9
창원 진해구 송학동,1,0,0,0,0,19
창원 진해구 안골동,2,1,0,0,0,148
창원 진해구 여좌동,0,3,1,0,0,578
창원 진해구 용원동,15,3,1,0,2,1194
창원 진해구 이동,7,1,1,0,1,552
창원 진해구 자은동,4,1,0,0,0,1078
창원 진해구 장천동,1,0,1,0,1,266
창원 진해구 충무동,1,0,0,0,0,77
창원 진해구 풍호동,2,1,0,0,0,726
창원 진해구 화천동,0,0,0,0,1,32
