address_name,동물병원,약국,반려동물,애견용품,동물보호단체,동물사료제조,한식,애견훈련,반려동물미용,반려동물호텔,반려동물분양,동물원,반려견놀이터,종합도소매,"키즈카페,실내놀이터","검사,분석,조사",애견사료,애견카페,미술교육,"협회,단체","연구,연구소","과자,사탕,초코렛",인터넷상거래,"카페,디저트",수족관,금속가공제품제조,제조업,"전시,행사대행",식료품,"네일아트,네일샵",애플리케이션개발,장례대행,의약품제조,가구제조,축산업용품,미용실,"시트,매트,쿠션","미술,공예품",기타,농림축산식품부,"스포츠,오락","가구,인테리어"
남양주 금곡동,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남양주 다산동,13,0,5,0,0,0,0,0,37,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남양주 별내동,8,7,2,1,0,1,0,1,29,3,4,0,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남양주 별내면,1,1,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남양주 오남읍,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남양주 와부읍,5,3,0,1,0,1,0,7,7,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남양주 진건읍,1,2,4,0,0,1,0,2,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
남양주 진접읍,8,7,5,3,0,6,0,3,16,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
남양주 퇴계원읍,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
남양주 평내동,2,2,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
남양주 호평동,3,8,4,1,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
남양주 화도읍,7,5,6,3,0,5,0,3,23,1,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
남양주 수동면,0,2,1,1,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남양주 이패동,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남양주 조안면,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
남양주 일패동,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남양주 삼패동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
